Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Shares,PnL,Return%,DaysHeld,ExitReason
GODREJCP,2021-01-12,773.8,2021-02-24,680.25,13,-1216.15,-12.09,43,ema_break
BAJAJ-AUTO,2021-01-05,3500.25,2021-08-24,3690.0,2,379.5,5.42,231,ema_break
HDFCLIFE,2021-01-05,691.1,2021-11-01,680.45,14,-149.1,-1.54,300,ema_break
JINDALSTEL,2021-01-05,286.5,2021-11-29,354.4,34,2308.6,23.7,328,ema_break
BANKBARODA,2021-11-09,106.2,2021-11-29,88.1,131,-2371.1,-17.04,20,stop_loss
HINDZINC,2021-01-06,257.25,2021-12-21,310.55,39,2078.7,20.72,349,ema_break
AMBUJACEM,2021-01-11,268.8,2021-12-21,353.05,38,3201.5,31.34,344,ema_break
MARUTI,2022-01-27,8656.0,2022-03-07,6992.0,1,-1664.0,-19.22,39,stop_loss
DMART,2021-01-05,2890.0,2022-03-28,4005.15,3,3345.45,38.59,447,ema_break
HINDALCO,2021-02-09,278.55,2022-05-05,470.0,37,7083.65,68.73,450,ema_break
CIPLA,2022-03-14,1045.0,2022-05-11,912.0,12,-1596.0,-12.73,58,ema_break
BANKBARODA,2022-02-01,108.6,2022-05-16,96.0,123,-1549.8,-11.6,104,ema_break
BHARTIARTL,2022-02-01,108.6,2022-05-16,96.0,123,-1549.8,-11.6,104,ema_break
ADANIGREEN,2021-12-15,1450.0,2022-06-13,1728.75,9,2508.75,19.22,180,ema_break
SUNPHARMA,2021-01-05,608.45,2022-06-17,805.2,16,3148.0,32.34,528,ema_break
MARUTI,2022-08-02,8985.0,2022-12-22,8356.65,1,-628.35,-6.99,142,ema_break
BEL,2021-01-05,43.33,2023-01-31,90.3,230,10802.33,108.38,756,ema_break
M&M,2022-05-31,997.95,2023-03-14,1192.3,13,2526.55,19.47,287,ema_break
GODREJCP,2023-03-21,961.15,2023-10-06,969.5,17,141.95,0.87,199,ema_break
SIEMENS,2022-07-11,1567.29,2023-10-23,2020.33,8,3624.37,28.91,469,ema_break
ITC,2022-05-20,266.73,2024-02-09,394.89,50,6408.2,48.05,630,ema_break
BANKBARODA,2022-08-03,121.5,2024-08-06,241.55,116,13925.8,98.81,734,ema_break
BHARTIARTL,2022-08-03,121.5,2024-08-06,241.55,116,13925.8,98.81,734,ema_break
VBL,2021-02-24,91.96,2024-10-08,540.3,116,52006.92,487.51,1322,ema_break
TCS,2024-08-19,4421.0,2024-10-23,3999.6,6,-2528.4,-9.53,65,ema_break
DRREDDY,2024-08-12,1402.79,2024-10-31,1258.6,21,-3027.99,-10.28,80,ema_break
ABB,2023-03-22,3413.05,2024-11-13,6940.0,4,14107.8,103.34,602,ema_break
CUMMINSIND,2022-07-19,1157.0,2024-12-30,3274.7,11,23294.7,183.03,895,ema_break
SOLARINDS,2023-10-06,5049.8,2024-12-31,9529.35,4,17918.2,88.71,452,ema_break
ULTRACEMCO,2023-03-28,7484.0,2025-01-14,10570.0,2,6172.0,41.23,658,ema_break
HCLTECH,2024-10-14,1846.05,2025-01-29,1696.0,16,-2400.8,-8.13,107,ema_break
APOLLOHOSP,2023-11-20,5475.0,2025-02-12,6349.6,3,2623.8,15.97,450,ema_break
TECHM,2024-10-10,1673.0,2025-03-03,1500.0,18,-3114.0,-10.34,144,ema_break
JSWSTEEL,2025-03-25,1061.35,2025-04-08,949.35,26,-2912.0,-10.55,14,ema_break
CHOLAFIN,2025-04-22,1648.9,2025-08-01,1442.5,16,-3302.4,-12.52,101,ema_break
MAZDOCK,2025-04-30,3073.7,2025-08-29,2628.5,8,-3561.6,-14.48,121,ema_break
ICICIBANK,2025-04-21,1436.0,2025-09-30,1353.7,19,-1563.7,-5.73,162,ema_break
BAJAJHLDNG,2024-02-09,8684.25,2025-10-01,12100.0,2,6831.5,39.33,600,ema_break
SOLARINDS,2025-04-30,13461.0,2025-11-26,13348.0,2,-226.0,-0.84,210,ema_break
INDIGO,2025-03-28,5149.9,2025-12-08,5110.0,5,-199.5,-0.77,255,ema_break
HDFCBANK,2025-04-17,941.0,2026-01-08,944.7,29,107.3,0.39,266,ema_break
BAJAJFINSV,2025-04-21,2037.1,2026-01-21,1964.9,13,-938.6,-3.54,275,ema_break
ADANIPORTS,2025-10-17,1479.5,2026-01-21,1371.7,19,-2048.2,-7.29,96,ema_break
MARUTI,2025-08-29,14750.0,2026-01-30,14502.0,1,-248.0,-1.68,154,ema_break
M&M,2025-08-14,3273.2,2026-03-04,3240.0,8,-265.6,-1.01,202,ema_break
NESTLEIND,2026-02-02,1297.5,2026-03-10,1236.9,21,-1272.6,-4.67,36,ema_break
EICHERMOT,2025-04-16,5549.0,2026-03-24,6800.0,4,5004.0,22.54,342,ema_break
MOTHERSON,2025-12-12,120.49,2026-03-24,110.5,237,-2367.63,-8.29,102,ema_break
